NameSpace 39_2013 40_2013 41_2013 42_2013 43_2013 44_2013 45_2013 46_2013 47_2013 48_2013 49_2013 50_2013 51_2013 52_2013 00_2014 01_2014 02_2014 03_2014 04_2014 05_2014 06_2014 07_2014 08_2014 09_2014 10_2014 11_2014 12_2014 13_2014 14_2014 15_2014 16_2014 17_2014
170 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
171 1 5 3 9 1 0 2 2 4 16 16 3 0 0 0 4 9 46 5 6 12 43 34 3 3 2 8 17 5 0 10 3
172 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
173 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
174 17 4 2 14 0 0 10 1 0 0 0 30 4 0 0 1 8 21 4 1 5 17 11 3 0 1 0 0 0 0 0 0
175 3 0 0 1 12 0 0 3 0 0 5 24 0 0 0 3 1 5 2 1 246 0 63 0 0 0 601 1 0 0 0 0
176 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
177 1 0 2 0 9 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
178 222 261 348 288 224 409 290 424 303 273 281 311 97 19 0 245 243 256 301 236 160 207 287 273 179 208 233 198 223 166 103 229
179 1 0 0 1 2 0 1 3 6 8 2 0 0 0 0 1 1 4 3 2 4 1 2 3 0 0 7 4 14 1 3 2
180 2 0 0 0 2 0 0 0 10 21 0 1 0 0 0 0 1 2 1 3 2 0 0 0 0 0 4 1 0 0 0 0
181 2 2 0 0 45 5 1 0 0 0 5 0 0 0 0 3 0 0 4 1 0 1 0 0 1 0 0 0 1 0 0 1
182 17 22 105 75 92 36 23 32 20 30 39 4 14 1 2 13 49 9 16 7 41 69 31 13 1 5 1 3 4 2 0 0
183 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
184 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
185 8 12 33 7 16 9 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
186 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
187 1 0 0 0 22 0 0 0 0 0 0 9 0 0 0 0 14 23 5 0 3 0 0 0 11 0 10 2 4 35 17 97
188 1 0 2 2 127 307 7 85 195 318 166 1 0 0 0 0 10 69 134 34 129 0 0 0 0 0 0 0 0 0 0 0
189 8 9 8 6 13 24 18 11 3 23 3 18 1 0 1 13 6 9 0 9 8 10 9 2 3 3 4 1 3 0 8 13
190 1 0 1 0 0 2 0 0 0 0 0 3 0 0 0 0 0 11 9 4 0 0 1 3 1 4 0 0 0 5 1 6
191 24 115 82 10 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
192 28 13 10 16 15 10 18 7 19 23 16 6 0 0 0 29 11 20 17 9 23 27 19 7 7 8 3 20 29 22 2 5
193 8 25 21 19 2 14 13 17 5 5 5 8 0 0 0 10 3 8 5 2 1 6 2 3 1 0 3 10 11 3 1 12
194 3 0 8 5 9 6 3 3 6 5 0 3 1 0 0 2 7 5 3 4 4 4 7 3 0 0 0 10 1 4 1 5
195 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
196 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
197 1 0 0 1 0 1 1 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0
